dataset,noise,method,method_label,n,dWGA_mean,dWGA_sem,dWGA_neg_pct
CivilComments,minority_high_40,forgetting,Forgetting,40,0.0371,0.0038,0.0
CivilComments,minority_high_40,margin,Margin,40,0.0354,0.0029,0.0
CivilComments,minority_high_40,aum,AUM,40,0.0311,0.0027,0.0
CivilComments,minority_high_40,confident_learning,Cleanlab,40,0.0354,0.0029,0.0
CivilComments,minority_high_40,uncertainty_diversity,Unc+Div-Lite,40,0.0054,0.0006,0.0
CivilComments,minority_high_40,badge_lite,BADGE-Lite,40,0.0353,0.0029,0.0
CivilComments,minority_high_40,tracin_val_uncertainty,TracIn-CP (val),40,0.0124,0.0012,0.0
CivilComments,minority_high_40,tracin_noise_weighted,TracIn-CP (noise),40,0.0199,0.0028,0.0
CivilComments,minority_high_40,noise_score,NoiseScore,50,0.0503,0.004,0.0
CivilComments,minority_high_40,noise_score_budget_hybrid,BHC,50,0.0457,0.0033,0.0
CivilComments,minority_high_40,NGC,NGC,50,0.0503,0.004,0.0
CivilComments,minority_high_40,noise_score_cpba_tc,CPBA-TC,50,0.0774,0.0062,0.0
CivilComments,minority_high_40,CPBA-only,CPBA-only,50,0.0813,0.0069,0.0
CivilComments,minority_high_40,noise_score_tc_only,TC-only,50,0.0457,0.0033,0.0
CivilComments,minority_high_40,CPBA-TC-noFB,CPBA-TC-noFB,50,0.0774,0.0062,0.0
CivilComments,minority_high_40,CPBA-TC-Guarded,CPBA-TC-Safe,50,0.0774,0.0062,0.0
CivilComments,minority_high_40,oracle_noise_group_balanced,Oracle-GB,50,0.106,0.0085,0.0
