method,label,noise_name,seed,budget_fraction,dwga_swapped,dwga_original,dwga_diff
noise_score,NoiseScore,uniform20,7,0.005,0.0077881619937694,-0.0077881619937694,0.0155763239875388
noise_score,NoiseScore,uniform20,7,0.01,0.0233644859813083,0.0186915887850467,0.0046728971962615995
noise_score,NoiseScore,uniform20,7,0.02,0.0763239875389407,0.0591900311526479,0.017133956386292795
noise_score,NoiseScore,uniform20,7,0.05,-0.0262739084485152,-0.0096386707282535,-0.0166352377202617
noise_score,NoiseScore,uniform20,7,0.1,-0.1149657044573844,-0.1227207106395617,0.00775500618217731
noise_score,NoiseScore,uniform20,8,0.005,-0.029595015576324,0.0155763239875389,-0.0451713395638629
noise_score,NoiseScore,uniform20,8,0.01,0.057632398753894,0.0342679127725856,0.0233644859813084
noise_score,NoiseScore,uniform20,8,0.02,0.043613707165109,0.0638629283489097,-0.02024922118380071
noise_score,NoiseScore,uniform20,8,0.05,-7.667281430678852e-05,-0.014971230425983,0.01489455761167621
noise_score,NoiseScore,uniform20,8,0.1,-0.0661520608409143,-0.0766120286521471,0.010459967811232804
noise_score,NoiseScore,uniform20,9,0.005,0.0093457943925233,0.0109034267912772,-0.0015576323987539012
noise_score,NoiseScore,uniform20,9,0.01,0.0186915887850467,0.0155763239875389,0.0031152647975078007
noise_score,NoiseScore,uniform20,9,0.02,0.00996815660595,-0.0043109462530479,0.0142791028589979
noise_score,NoiseScore,uniform20,9,0.05,-0.1292779631279745,-0.1098541835036022,-0.019423779624372292
noise_score,NoiseScore,uniform20,9,0.1,-0.1878145484938281,-0.2318054030157973,0.043990854521969214
noise_score_budget_hybrid_v8,NGC,minority_high_40,0,0.005,0.0140186915887849,0.014018691588785,-9.8879238130678e-17
noise_score_budget_hybrid_v8,NGC,minority_high_40,0,0.01,0.0202492211838005,0.0467289719626168,-0.0264797507788163
noise_score_budget_hybrid_v8,NGC,minority_high_40,0,0.02,0.063647415573561,0.0720227117309406,-0.0083752961573796
noise_score_budget_hybrid_v8,NGC,minority_high_40,0,0.05,-0.0401219857568159,-0.0215471330584163,-0.0185748526983996
noise_score_budget_hybrid_v8,NGC,minority_high_40,0,0.1,0.0330487459505011,0.0662577449903641,-0.033208999039863005
noise_score_budget_hybrid_v8,NGC,minority_high_40,1,0.005,0.0249221183800623,0.0140186915887851,0.0109034267912772
noise_score_budget_hybrid_v8,NGC,minority_high_40,1,0.01,0.0327102803738317,0.02803738317757,0.004672897196261704
noise_score_budget_hybrid_v8,NGC,minority_high_40,1,0.02,0.0289470957581283,0.0215913408072059,0.007355754950922399
noise_score_budget_hybrid_v8,NGC,minority_high_40,1,0.05,-0.0366848332884348,-0.0329541137382486,-0.0037307195501861956
noise_score_budget_hybrid_v8,NGC,minority_high_40,1,0.1,0.0892575170441594,0.0694849106519952,0.019772606392164202
noise_score_budget_hybrid_v8,NGC,minority_high_40,2,0.005,-0.0311526479750778,0.0093457943925233,-0.0404984423676011
noise_score_budget_hybrid_v8,NGC,minority_high_40,2,0.01,0.0171339563862927,-0.043613707165109,0.060747663551401695
noise_score_budget_hybrid_v8,NGC,minority_high_40,2,0.02,0.0233644859813083,0.0031152647975077,0.020249221183800598
noise_score_budget_hybrid_v8,NGC,minority_high_40,2,0.05,0.0879934517272105,0.1655752878684266,-0.0775818361412161
noise_score_budget_hybrid_v8,NGC,minority_high_40,2,0.1,0.1074766355140186,0.1642449109282936,-0.056768275414274996
noise_score_budget_hybrid_v8,NGC,minority_high_40,3,0.005,0.0031152647975077,0.0093457943925233,-0.0062305295950156
noise_score_budget_hybrid_v8,NGC,minority_high_40,3,0.01,0.0124610591900311,0.0903426791277258,-0.0778816199376947
noise_score_budget_hybrid_v8,NGC,minority_high_40,3,0.02,0.0150893480047799,0.099395597184519,-0.0843062491797391
noise_score_budget_hybrid_v8,NGC,minority_high_40,3,0.05,-0.0243785012191668,0.0763239875389408,-0.10070248875810761
noise_score_budget_hybrid_v8,NGC,minority_high_40,3,0.1,-0.0101878138577478,0.0654205607476635,-0.07560837460541131
noise_score_budget_hybrid_v8,NGC,minority_high_40,4,0.005,-0.0482866043613707,0.0186915887850467,-0.0669781931464174
noise_score_budget_hybrid_v8,NGC,minority_high_40,4,0.01,-0.0404984423676012,0.0295950155763239,-0.0700934579439251
noise_score_budget_hybrid_v8,NGC,minority_high_40,4,0.02,0.0763239875389408,0.0700934579439252,0.006230529595015605
noise_score_budget_hybrid_v8,NGC,minority_high_40,4,0.05,0.0346554213205683,0.1339563862928349,-0.0993009649722666
noise_score_budget_hybrid_v8,NGC,minority_high_40,4,0.1,0.1064957760877524,0.146417445482866,-0.0399216693951136
noise_score_budget_hybrid_v8,NGC,minority_high_40,5,0.005,0.0015576323987538,0.0155763239875389,-0.014018691588785099
noise_score_budget_hybrid_v8,NGC,minority_high_40,5,0.01,0.0093457943925233,0.1881412713872253,-0.178795476994702
noise_score_budget_hybrid_v8,NGC,minority_high_40,5,0.02,0.0249221183800623,0.1183800623052959,-0.0934579439252336
noise_score_budget_hybrid_v8,NGC,minority_high_40,5,0.05,0.0654205607476635,0.0737288545357841,-0.008308293788120591
noise_score_budget_hybrid_v8,NGC,minority_high_40,5,0.1,0.0747663551401868,0.1163009166200413,-0.0415345614798545
noise_score_budget_hybrid_v8,NGC,minority_high_40,6,0.005,0.0062305295950155,0.0109034267912772,-0.004672897196261701
noise_score_budget_hybrid_v8,NGC,minority_high_40,6,0.01,0.0155763239875389,0.0233644859813084,-0.007788161993769501
noise_score_budget_hybrid_v8,NGC,minority_high_40,6,0.02,-0.0028541627812199,0.0482866043613707,-0.0511407671425906
noise_score_budget_hybrid_v8,NGC,minority_high_40,6,0.05,-0.0534084865062753,0.073208722741433,-0.1266172092477083
noise_score_budget_hybrid_v8,NGC,minority_high_40,6,0.1,0.0539085866644563,0.0638629283489096,-0.009954341684453298
noise_score_budget_hybrid_v8,NGC,minority_high_40,7,0.005,0.0342679127725856,0.0062305295950155,0.028037383177570097
noise_score_budget_hybrid_v8,NGC,minority_high_40,7,0.01,0.0934579439252336,-0.0716510903426791,0.16510903426791268
noise_score_budget_hybrid_v8,NGC,minority_high_40,7,0.02,0.1074766355140187,0.0329161227041326,0.0745605128098861
noise_score_budget_hybrid_v8,NGC,minority_high_40,7,0.05,0.0839740003177432,0.0111866326819597,0.0727873676357835
noise_score_budget_hybrid_v8,NGC,minority_high_40,7,0.1,0.1141292109607587,0.0453329741453744,0.0687962368153843
noise_score_budget_hybrid_v8,NGC,minority_high_40,8,0.005,0.0046728971962616,0.0046728971962617,-9.974659986866641e-17
noise_score_budget_hybrid_v8,NGC,minority_high_40,8,0.01,0.0186915887850467,0.0109034267912773,0.0077881619937694
noise_score_budget_hybrid_v8,NGC,minority_high_40,8,0.02,0.0638629283489096,0.0020459898736625,0.061816938475247094
noise_score_budget_hybrid_v8,NGC,minority_high_40,8,0.05,0.1124486257606841,-0.0165792872881999,0.129027913048884
noise_score_budget_hybrid_v8,NGC,minority_high_40,8,0.1,0.1310739029225466,0.0446180519579197,0.08645585096462688
noise_score_budget_hybrid_v8,NGC,minority_high_40,9,0.005,0.2435784791152924,0.0566404873904303,0.18693799172486208
noise_score_budget_hybrid_v8,NGC,minority_high_40,9,0.01,0.228944332773829,0.0619619951509625,0.16698233762286652
noise_score_budget_hybrid_v8,NGC,minority_high_40,9,0.02,0.2661948870975541,0.0402325051287896,0.22596238196876453
noise_score_budget_hybrid_v8,NGC,minority_high_40,9,0.05,0.1331571930842503,-0.0387031933191039,0.17186038640335422
noise_score_budget_hybrid_v8,NGC,minority_high_40,9,0.1,0.2143101864323656,0.0668400439314503,0.1474701425009153
noise_score_budget_hybrid_v8,NGC,uniform20,0,0.005,0.1246105919003114,0.0373831775700934,0.087227414330218
noise_score_budget_hybrid_v8,NGC,uniform20,0,0.01,0.1417445482866043,-0.043613707165109,0.1853582554517133
noise_score_budget_hybrid_v8,NGC,uniform20,0,0.02,0.073208722741433,-0.0015576323987538,0.0747663551401868
noise_score_budget_hybrid_v8,NGC,uniform20,0,0.05,0.165947600002763,0.0015576323987539,0.16438996760400912
noise_score_budget_hybrid_v8,NGC,uniform20,0,0.1,0.0776992629739382,0.0219905920384607,0.0557086709354775
noise_score_budget_hybrid_v8,NGC,uniform20,1,0.005,0.0077881619937694,0.0077881619937694,0.0
noise_score_budget_hybrid_v8,NGC,uniform20,1,0.01,0.0295950155763239,0.0140186915887849,0.015576323987539
noise_score_budget_hybrid_v8,NGC,uniform20,1,0.02,0.0467199922636439,0.0320637420477858,0.014656250215858098
noise_score_budget_hybrid_v8,NGC,uniform20,1,0.05,0.0062305295950155,0.0329506600078745,-0.026720130412859
noise_score_budget_hybrid_v8,NGC,uniform20,1,0.1,-0.033989542104427,-0.0357854818989991,0.001795939794572099
noise_score_budget_hybrid_v8,NGC,uniform20,2,0.005,0.0109034267912772,0.0,0.0109034267912772
noise_score_budget_hybrid_v8,NGC,uniform20,2,0.01,0.0186915887850467,0.0233644859813084,-0.0046728971962617
noise_score_budget_hybrid_v8,NGC,uniform20,2,0.02,0.0763239875389407,0.088785046728972,-0.012461059190031307
noise_score_budget_hybrid_v8,NGC,uniform20,2,0.05,0.0482866043613706,0.0607476635514019,-0.0124610591900313
noise_score_budget_hybrid_v8,NGC,uniform20,2,0.1,0.0500452438679016,0.11068238804733,-0.06063714417942839
noise_score_budget_hybrid_v8,NGC,uniform20,3,0.005,0.0015576323987539,0.0140186915887851,-0.012461059190031201
noise_score_budget_hybrid_v8,NGC,uniform20,3,0.01,0.0358255451713396,0.0404984423676012,-0.0046728971962615995
noise_score_budget_hybrid_v8,NGC,uniform20,3,0.02,0.1074766355140187,0.1090342679127726,-0.0015576323987538943
noise_score_budget_hybrid_v8,NGC,uniform20,3,0.05,0.1074766355140187,0.087227414330218,0.02024922118380071
noise_score_budget_hybrid_v8,NGC,uniform20,3,0.1,0.132877440923942,0.155072493800554,-0.022195052876611998
noise_score_budget_hybrid_v8,NGC,uniform20,4,0.005,-0.0124610591900311,0.0109034267912773,-0.0233644859813084
noise_score_budget_hybrid_v8,NGC,uniform20,4,0.01,0.0124610591900311,0.0093457943925233,0.0031152647975078007
noise_score_budget_hybrid_v8,NGC,uniform20,4,0.02,0.0591900311526479,0.0369687299251922,0.0222213012274557
noise_score_budget_hybrid_v8,NGC,uniform20,4,0.05,0.0778816199376947,0.0418467787056801,0.0360348412320146
noise_score_budget_hybrid_v8,NGC,uniform20,4,0.1,0.0286977364251128,-0.044184263422923,0.0728819998480358
noise_score_budget_hybrid_v8,NGC,uniform20,5,0.005,0.0778816199376947,0.0031152647975077,0.074766355140187
noise_score_budget_hybrid_v8,NGC,uniform20,5,0.01,0.0944795573699152,0.0124610591900311,0.0820184981798841
noise_score_budget_hybrid_v8,NGC,uniform20,5,0.02,0.0685358255451713,-0.0486457923202852,0.1171816178654565
noise_score_budget_hybrid_v8,NGC,uniform20,5,0.05,0.0483598234453033,-0.0118386969766044,0.060198520421907695
noise_score_budget_hybrid_v8,NGC,uniform20,5,0.1,-0.011063679880639,-0.1102865905464491,0.0992229106658101
noise_score_budget_hybrid_v8,NGC,uniform20,6,0.005,0.0140186915887851,0.0046728971962617,0.0093457943925234
noise_score_budget_hybrid_v8,NGC,uniform20,6,0.01,0.0202492211838006,0.0109034267912773,0.009345794392523301
noise_score_budget_hybrid_v8,NGC,uniform20,6,0.02,0.0420560747663552,0.0033777483059452,0.03867832646041
noise_score_budget_hybrid_v8,NGC,uniform20,6,0.05,0.0235102334030987,0.0118034689267878,0.011706764476310898
noise_score_budget_hybrid_v8,NGC,uniform20,6,0.1,-0.0359132699228436,-0.0733406552417265,0.03742738531888291
noise_score_budget_hybrid_v8,NGC,uniform20,7,0.005,0.0077881619937694,-0.0077881619937694,0.0155763239875388
noise_score_budget_hybrid_v8,NGC,uniform20,7,0.01,0.0233644859813083,0.0186915887850467,0.0046728971962615995
noise_score_budget_hybrid_v8,NGC,uniform20,7,0.02,0.0763239875389407,0.0591900311526479,0.017133956386292795
noise_score_budget_hybrid_v8,NGC,uniform20,7,0.05,0.0373831775700934,0.043613707165109,-0.006230529595015598
noise_score_budget_hybrid_v8,NGC,uniform20,7,0.1,0.0732087227414329,0.0586540121985756,0.014554710542857306
noise_score_budget_hybrid_v8,NGC,uniform20,8,0.005,-0.029595015576324,0.0155763239875389,-0.0451713395638629
noise_score_budget_hybrid_v8,NGC,uniform20,8,0.01,0.057632398753894,0.0342679127725856,0.0233644859813084
noise_score_budget_hybrid_v8,NGC,uniform20,8,0.02,0.043613707165109,0.0638629283489097,-0.02024922118380071
noise_score_budget_hybrid_v8,NGC,uniform20,8,0.05,0.0794392523364485,0.0576323987538941,0.021806853582554395
noise_score_budget_hybrid_v8,NGC,uniform20,8,0.1,0.0473734380504382,0.0178447340972985,0.0295287039531397
noise_score_budget_hybrid_v8,NGC,uniform20,9,0.005,0.0093457943925233,0.0109034267912772,-0.0015576323987539012
noise_score_budget_hybrid_v8,NGC,uniform20,9,0.01,0.0186915887850467,0.0155763239875389,0.0031152647975078007
noise_score_budget_hybrid_v8,NGC,uniform20,9,0.02,0.00996815660595,-0.0043109462530479,0.0142791028589979
noise_score_budget_hybrid_v8,NGC,uniform20,9,0.05,0.0050901078254622,-0.0074151591133583,0.012505266938820501
noise_score_budget_hybrid_v8,NGC,uniform20,9,0.1,-0.0561072314206574,-0.0757078420401876,0.019600610619530202
noise_score_cpba_only,CPBA-only,minority_high_40,0,0.005,0.0140186915887849,0.014018691588785,-9.8879238130678e-17
noise_score_cpba_only,CPBA-only,minority_high_40,0,0.01,0.0202492211838005,0.0467289719626168,-0.0264797507788163
noise_score_cpba_only,CPBA-only,minority_high_40,0,0.02,0.063647415573561,0.0720227117309406,-0.0083752961573796
noise_score_cpba_only,CPBA-only,minority_high_40,0,0.05,0.113758280318572,0.1145947738151978,-0.0008364934966257898
noise_score_cpba_only,CPBA-only,minority_high_40,0,0.1,0.1053325596977294,0.1277258566978192,-0.022393297000089796
noise_score_cpba_only,CPBA-only,minority_high_40,1,0.005,0.0249221183800623,0.0140186915887851,0.0109034267912772
noise_score_cpba_only,CPBA-only,minority_high_40,1,0.01,0.0327102803738317,0.02803738317757,0.004672897196261704
noise_score_cpba_only,CPBA-only,minority_high_40,1,0.02,0.0289470957581283,0.0215913408072059,0.007355754950922399
noise_score_cpba_only,CPBA-only,minority_high_40,1,0.05,0.0965732087227414,0.0867798108737247,0.0097933978490167
noise_score_cpba_only,CPBA-only,minority_high_40,1,0.1,0.0591900311526479,0.0218068535825545,0.0373831775700934
noise_score_cpba_only,CPBA-only,minority_high_40,2,0.005,-0.0311526479750778,0.0093457943925233,-0.0404984423676011
noise_score_cpba_only,CPBA-only,minority_high_40,2,0.01,0.0171339563862927,-0.043613707165109,0.060747663551401695
