dataset,noise,budget_fraction,method,n_absolute_seeds,absolute_delta_wga,absolute_ci_low,absolute_ci_high,n_paired_loss_seeds,delta_wga_vs_loss,paired_ci_low,paired_ci_high
Waterbirds,uniform20,0.1,nn_label_spreading,10,0.008722741433021809,-0.03012299791485912,0.04756848078090274,10,-0.0012461059190031197,-0.032695621085652375,0.030203409247646133
Waterbirds,uniform20,0.005,coreset,10,-0.0037383177570093295,-0.01211301782811482,0.00463638231409616,10,-0.03362234149104441,-0.06814987106890272,0.0009051880868139114
Waterbirds,uniform20,0.01,coreset,10,-0.009968847352024909,-0.02662243201157281,0.006684737307522993,10,-0.011370716510903411,-0.03594099676661805,0.013199563744811226
Waterbirds,uniform20,0.02,coreset,10,0.00264797507788162,-0.013862932654195468,0.019158882809958706,10,-0.004741281057670382,-0.03438360081050132,0.02490103869516055
Waterbirds,uniform20,0.05,coreset,10,-0.00638629283489095,-0.016078175739733483,0.0033055900699515833,10,-0.0344077888527398,-0.05515190393499647,-0.013663673770483126
Waterbirds,uniform20,0.1,coreset,10,-0.002336448598130851,-0.02038957404410341,0.015716676847841705,10,-0.012305295950155778,-0.03649304796448845,0.011882456064176889
Waterbirds,uniform20,0.005,uncertainty_diversity,10,0.00436137071651092,-0.012013200505657858,0.020735941938679697,10,-0.025522653017524155,-0.04685965026729363,-0.004185655767754683
Waterbirds,uniform20,0.01,uncertainty_diversity,10,-0.0003115264797507797,-0.01335681448812757,0.012733761528626009,10,-0.001713395638629281,-0.023519637935245256,0.020092846657986694
Waterbirds,uniform20,0.02,uncertainty_diversity,10,-0.00654205607476631,-0.022394382265573838,0.009310270116041219,10,-0.01393131221031831,-0.04326753055907487,0.015404906138438253
Waterbirds,uniform20,0.05,uncertainty_diversity,10,0.00358255451713396,-0.01405153661448511,0.02121664564875303,10,-0.02443894150071489,-0.04288972541017797,-0.005988157591251805
Waterbirds,uniform20,0.1,uncertainty_diversity,10,0.015887850467289702,-0.009547304730189693,0.0413230056647691,10,0.005919003115264771,-0.020801636116527036,0.032639642347056574
Waterbirds,uniform20,0.005,badge_lite,10,0.00436137071651092,-0.012097233548658076,0.020819974981679916,10,-0.025522653017524155,-0.05329381720360639,0.0022485111685580823
Waterbirds,uniform20,0.01,badge_lite,10,0.011214953271028009,0.001168718112136695,0.021261188429919323,10,0.00981308411214951,-0.005053503738725731,0.02467967196302475
Waterbirds,uniform20,0.02,badge_lite,10,0.011370716510903411,-0.006019166982979206,0.02876060000478603,10,0.00398146037535141,-0.013383737146589997,0.021346657897292814
Waterbirds,uniform20,0.05,badge_lite,10,0.01968909519171656,-0.005882251178219701,0.04526044156165282,10,-0.00833240082613229,-0.024043377702090703,0.007378576049826125
Waterbirds,uniform20,0.1,badge_lite,10,0.016935159665955178,-0.013263808157978771,0.04713412748988913,10,0.0069663123139302495,-0.02036242231262341,0.03429504694048391
Waterbirds,uniform20,0.005,tracin_val_uncertainty,10,-0.00560747663551401,-0.02673085389492496,0.01551590062389694,10,-0.03549150036954909,-0.07215464011175472,0.0011716393726565466
Waterbirds,uniform20,0.01,tracin_val_uncertainty,10,0.003271028037383181,-0.029789408103458162,0.036331464178224526,10,0.0018691588785046801,-0.030458556145337767,0.03419687390234713
Waterbirds,uniform20,0.02,tracin_val_uncertainty,10,-0.0010903426791277105,-0.03248827406053276,0.030307588702277333,10,-0.008479598814679709,-0.05349014953750356,0.03653095190814414
Waterbirds,uniform20,0.05,tracin_val_uncertainty,10,-0.04922118380062303,-0.07846313115389944,-0.01997923644734662,10,-0.07724267981847188,-0.1047575336650748,-0.049727825971868964
Waterbirds,uniform20,0.1,tracin_val_uncertainty,10,-0.13208722741433018,-0.15790459615356348,-0.10626985867509689,10,-0.14205607476635512,-0.17753329709539198,-0.10657885243731827
Waterbirds,uniform20,0.005,tracin_noise_weighted,10,-0.0009345794392523199,-0.020519424101485103,0.018650265222980463,10,-0.030818603173287395,-0.06895701912131277,0.0073198127747379875
Waterbirds,uniform20,0.01,tracin_noise_weighted,10,-0.012772585669781927,-0.03498219685842664,0.009437025518862784,10,-0.01417445482866043,-0.038976092445262664,0.010627182787941803
Waterbirds,uniform20,0.02,tracin_noise_weighted,10,-0.028660436137071636,-0.07146000211907688,0.014139129844933616,10,-0.03604969227262364,-0.08629193313345174,0.014192548588204464
Waterbirds,uniform20,0.05,tracin_noise_weighted,10,-0.047975077881619935,-0.07569413761337318,-0.020256018149866696,10,-0.07599657389946878,-0.10188987030009136,-0.05010327749884619
Waterbirds,uniform20,0.1,tracin_noise_weighted,10,-0.11931464174454823,-0.14339235207143153,-0.09523693141766491,10,-0.12928348909657317,-0.15508054476948802,-0.10348643342365832
Waterbirds,uniform20,0.005,noise_score,10,0.00514018691588785,-0.013056032281116639,0.02333640611289234,10,-0.02474383681814723,-0.051931734246059666,0.002444060609765205
Waterbirds,uniform20,0.01,noise_score,10,0.01137071651090341,-0.005803640958370358,0.028545073980177176,10,0.009968847352024912,-0.006610016225733501,0.026547710929783325
Waterbirds,uniform20,0.02,noise_score,10,0.031028451830822434,0.009477845511287504,0.05257905815035736,10,0.023639195695270433,-0.006154625584766187,0.05343301697530706
Waterbirds,uniform20,0.05,noise_score,10,0.049550876902141966,0.00974093302085973,0.0893608207834242,10,0.02152938088429312,-0.01626302572231826,0.0593217874909045
Waterbirds,uniform20,0.1,noise_score,10,0.006090998887898811,-0.03178831393370127,0.04397031170949889,10,-0.0038778484641261183,-0.033854743848511754,0.02609904692025952
Waterbirds,uniform20,0.005,noise_score_budget_hybrid_v8,10,0.00514018691588785,-0.013056032281116639,0.02333640611289234,10,-0.02474383681814723,-0.051931734246059666,0.002444060609765205
Waterbirds,uniform20,0.01,noise_score_budget_hybrid_v8,10,0.01137071651090341,-0.005803640958370358,0.028545073980177176,10,0.009968847352024912,-0.006610016225733501,0.026547710929783325
Waterbirds,uniform20,0.02,noise_score_budget_hybrid_v8,10,0.031028451830822434,0.009477845511287504,0.05257905815035736,10,0.023639195695270433,-0.006154625584766187,0.05343301697530706
Waterbirds,uniform20,0.05,noise_score_budget_hybrid_v8,10,0.025139012647560584,0.0006423440683955735,0.0496356812267256,10,-0.0028824833702882705,-0.02131054680698798,0.015545580066411439
