dataset,noise,budget,budget_fraction,method,method_label,n_seeds,dWGA_mean,dWGA_sem,dWGA_min,dWGA_max,dWGA_neg_pct,noise_precision,minority_query_rate,wga_mean
Waterbirds,uniform20,2.0%,0.02,margin,Margin,10,0.0067,0.0069,-0.0483,0.0296,20.0,0.9979,0.0,0.6233
Waterbirds,uniform20,2.0%,0.02,aum,AUM,10,-0.0008,0.0098,-0.0794,0.0296,30.0,0.9979,0.001,0.6159
Waterbirds,uniform20,2.0%,0.02,confident_learning,Cleanlab,10,0.0067,0.0069,-0.0483,0.0296,20.0,0.9979,0.0,0.6233
Waterbirds,uniform20,2.0%,0.02,coreset,Coreset-Lite,10,-0.0238,0.0101,-0.0935,0.0062,80.0,0.0719,0.0531,0.5928
Waterbirds,uniform20,2.0%,0.02,uncertainty_diversity,Unc+Div-Lite,10,-0.0238,0.0106,-0.0997,0.0093,80.0,0.3719,0.1635,0.5928
Waterbirds,uniform20,2.0%,0.02,badge_lite,BADGE-Lite,10,0.0078,0.0104,-0.0514,0.0592,30.0,0.9198,0.0208,0.6245
Waterbirds,uniform20,2.0%,0.02,tracin_val_uncertainty,TracIn-CP (val),10,-0.0153,0.0142,-0.109,0.0358,70.0,0.9875,0.0094,0.6014
Waterbirds,uniform20,2.0%,0.02,tracin_noise_weighted,TracIn-CP (noise),10,-0.0263,0.0126,-0.1075,0.0358,70.0,0.9865,0.0125,0.5903
Waterbirds,uniform20,2.0%,0.02,noise_score,NoiseScore,10,0.0339,0.0152,-0.0486,0.109,30.0,0.6333,0.3229,0.6371
Waterbirds,uniform20,2.0%,0.02,noise_score_budget_hybrid,BHC,10,0.0339,0.0152,-0.0486,0.109,30.0,0.6333,0.3229,0.6371
Waterbirds,uniform20,2.0%,0.02,NGC,NGC,10,0.0339,0.0152,-0.0486,0.109,30.0,0.6333,0.3229,0.6371
Waterbirds,uniform20,2.0%,0.02,noise_score_cpba_tc,CPBA-TC,10,0.0339,0.0152,-0.0486,0.109,30.0,0.6333,0.3229,0.6371
Waterbirds,uniform20,2.0%,0.02,CPBA-only,CPBA-only,10,0.0339,0.0152,-0.0486,0.109,30.0,0.6333,0.3229,0.6371
Waterbirds,uniform20,2.0%,0.02,noise_score_tc_only,TC-only,10,0.0339,0.0152,-0.0486,0.109,30.0,0.6333,0.3229,0.6371
Waterbirds,uniform20,2.0%,0.02,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0339,0.0152,-0.0486,0.109,30.0,0.6333,0.3229,0.6371
Waterbirds,uniform20,2.0%,0.02,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0339,0.0152,-0.0486,0.109,30.0,0.6333,0.3229,0.6371
Waterbirds,uniform20,2.0%,0.02,oracle_noise_group_balanced,Oracle-GB,10,0.0569,0.0084,0.0265,0.1044,0.0,1.0,0.4208,0.6601
Waterbirds,uniform20,5.0%,0.05,random,Random,10,-0.0006,0.0044,-0.0187,0.028,70.0,0.1962,0.0529,0.6026
Waterbirds,uniform20,5.0%,0.05,loss,Loss,10,-0.0111,0.0078,-0.0623,0.0156,70.0,0.9933,0.0046,0.5922
Waterbirds,uniform20,5.0%,0.05,entropy,Entropy,10,0.0109,0.0076,-0.0312,0.0467,30.0,0.2825,0.3583,0.6142
Waterbirds,uniform20,5.0%,0.05,forgetting,Forgetting,10,0.0271,0.0081,-0.0047,0.0748,10.0,0.5925,0.2017,0.6437
Waterbirds,uniform20,5.0%,0.05,margin,Margin,10,0.0284,0.0059,-0.0016,0.0592,10.0,0.9929,0.005,0.645
Waterbirds,uniform20,5.0%,0.05,aum,AUM,10,0.0072,0.0082,-0.0483,0.0436,30.0,0.9938,0.0033,0.6238
Waterbirds,uniform20,5.0%,0.05,confident_learning,Cleanlab,10,0.0284,0.0059,-0.0016,0.0592,10.0,0.9929,0.005,0.645
Waterbirds,uniform20,5.0%,0.05,coreset,Coreset-Lite,10,-0.012,0.0121,-0.1012,0.0374,40.0,0.0712,0.06,0.6047
Waterbirds,uniform20,5.0%,0.05,uncertainty_diversity,Unc+Div-Lite,10,-0.0184,0.0112,-0.0701,0.0358,70.0,0.3483,0.1667,0.5983
Waterbirds,uniform20,5.0%,0.05,badge_lite,BADGE-Lite,10,0.014,0.0135,-0.0452,0.0841,50.0,0.8233,0.035,0.6307
Waterbirds,uniform20,5.0%,0.05,tracin_val_uncertainty,TracIn-CP (val),10,-0.0555,0.0133,-0.0997,0.0358,90.0,0.9758,0.0217,0.5612
Waterbirds,uniform20,5.0%,0.05,tracin_noise_weighted,TracIn-CP (noise),10,-0.0562,0.0111,-0.0919,0.0218,90.0,0.9792,0.0171,0.5604
Waterbirds,uniform20,5.0%,0.05,noise_score,NoiseScore,10,-0.0497,0.0198,-0.1316,0.0535,80.0,0.6525,0.2562,0.5535
Waterbirds,uniform20,5.0%,0.05,noise_score_budget_hybrid,BHC,10,0.0318,0.0103,-0.0118,0.0872,20.0,0.32,0.3404,0.6351
Waterbirds,uniform20,5.0%,0.05,NGC,NGC,10,0.0318,0.0103,-0.0118,0.0872,20.0,0.32,0.3404,0.6351
Waterbirds,uniform20,5.0%,0.05,noise_score_cpba_tc,CPBA-TC,10,-0.0109,0.0325,-0.1316,0.1293,50.0,0.5733,0.2879,0.5924
Waterbirds,uniform20,5.0%,0.05,CPBA-only,CPBA-only,10,-0.0497,0.0198,-0.1316,0.0535,80.0,0.6525,0.2562,0.5535
Waterbirds,uniform20,5.0%,0.05,noise_score_tc_only,TC-only,10,0.0262,0.0236,-0.0902,0.1324,30.0,0.4217,0.32,0.6294
Waterbirds,uniform20,5.0%,0.05,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0274,0.0218,-0.0707,0.1293,30.0,0.4983,0.3133,0.6307
Waterbirds,uniform20,5.0%,0.05,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0482,0.0147,-0.0118,0.1293,20.0,0.4271,0.3212,0.6515
Waterbirds,uniform20,5.0%,0.05,oracle_noise_group_balanced,Oracle-GB,10,0.088,0.0153,0.0263,0.1807,0.0,1.0,0.2008,0.6913
Waterbirds,uniform20,10.0%,0.1,random,Random,10,-0.0034,0.0054,-0.0218,0.0358,60.0,0.2012,0.0504,0.5998
Waterbirds,uniform20,10.0%,0.1,loss,Loss,10,-0.0359,0.0063,-0.0732,-0.0087,100.0,0.99,0.0085,0.5673
Waterbirds,uniform20,10.0%,0.1,entropy,Entropy,10,0.0277,0.0144,-0.0389,0.0903,30.0,0.2848,0.3087,0.631
Waterbirds,uniform20,10.0%,0.1,noise_score,NoiseScore,10,-0.1225,0.0233,-0.234,0.0021,90.0,0.4067,0.249,0.4808
Waterbirds,uniform20,10.0%,0.1,noise_score_budget_hybrid,BHC,10,0.0025,0.0273,-0.1103,0.1551,50.0,0.3756,0.2342,0.6058
Waterbirds,uniform20,10.0%,0.1,NGC,NGC,10,0.0025,0.0273,-0.1103,0.1551,50.0,0.3756,0.2342,0.6058
Waterbirds,uniform20,10.0%,0.1,noise_score_cpba_tc,CPBA-TC,10,-0.0801,0.0346,-0.234,0.0726,70.0,0.4894,0.2379,0.5232
Waterbirds,uniform20,10.0%,0.1,CPBA-only,CPBA-only,10,-0.0927,0.0299,-0.2251,0.0624,80.0,0.5031,0.244,0.5106
Waterbirds,uniform20,10.0%,0.1,noise_score_tc_only,TC-only,10,-0.0549,0.0173,-0.128,0.0309,90.0,0.4225,0.2354,0.5484
Waterbirds,uniform20,10.0%,0.1,CPBA-TC-noFB,CPBA-TC-noFB,10,-0.0396,0.02,-0.1302,0.0726,70.0,0.5502,0.2275,0.5637
Waterbirds,uniform20,10.0%,0.1,CPBA-TC-Guarded,CPBA-TC-Safe,10,-0.0293,0.0177,-0.1103,0.0726,70.0,0.4856,0.2296,0.574
Waterbirds,uniform20,10.0%,0.1,oracle_noise_group_balanced,Oracle-GB,10,-0.0028,0.0156,-0.0735,0.0726,40.0,1.0,0.1004,0.6005
Waterbirds,minority_high_40,0.5%,0.005,random,Random,10,0.0,0.0023,-0.0093,0.0171,50.0,0.1375,0.0625,0.4567
Waterbirds,minority_high_40,0.5%,0.005,loss,Loss,10,0.0118,0.019,-0.0187,0.1822,70.0,0.9917,0.0125,0.4685
Waterbirds,minority_high_40,0.5%,0.005,entropy,Entropy,10,0.0036,0.0015,-0.0031,0.0125,30.0,0.1958,0.3958,0.4603
Waterbirds,minority_high_40,0.5%,0.005,forgetting,Forgetting,10,0.0236,0.0133,-0.0249,0.1262,30.0,0.3708,0.5083,0.5098
Waterbirds,minority_high_40,0.5%,0.005,margin,Margin,10,0.0084,0.0053,-0.0171,0.0358,30.0,0.9958,0.0,0.4946
Waterbirds,minority_high_40,0.5%,0.005,aum,AUM,10,0.0092,0.0087,-0.0358,0.0498,30.0,1.0,0.0,0.4954
Waterbirds,minority_high_40,0.5%,0.005,confident_learning,Cleanlab,10,0.0084,0.0053,-0.0171,0.0358,30.0,0.9958,0.0,0.4946
Waterbirds,minority_high_40,0.5%,0.005,coreset,Coreset-Lite,10,0.0006,0.0009,-0.0047,0.0062,10.0,0.0208,0.0583,0.4868
Waterbirds,minority_high_40,0.5%,0.005,uncertainty_diversity,Unc+Div-Lite,10,0.0234,0.0101,-0.0047,0.0935,20.0,0.3292,0.3208,0.5096
Waterbirds,minority_high_40,0.5%,0.005,badge_lite,BADGE-Lite,10,0.0194,0.0118,-0.0231,0.0862,30.0,0.9792,0.0208,0.5056
Waterbirds,minority_high_40,0.5%,0.005,tracin_val_uncertainty,TracIn-CP (val),10,0.0138,0.0169,-0.0639,0.1293,50.0,0.9958,0.0167,0.5
Waterbirds,minority_high_40,0.5%,0.005,tracin_noise_weighted,TracIn-CP (noise),10,0.0283,0.0163,-0.0249,0.1262,30.0,0.7417,0.3,0.5145
Waterbirds,minority_high_40,0.5%,0.005,noise_score,NoiseScore,10,0.0159,0.0047,0.0047,0.0566,0.0,0.2417,0.5542,0.4726
Waterbirds,minority_high_40,0.5%,0.005,noise_score_budget_hybrid,BHC,10,0.0159,0.0047,0.0047,0.0566,0.0,0.2417,0.5542,0.4726
Waterbirds,minority_high_40,0.5%,0.005,NGC,NGC,10,0.0159,0.0047,0.0047,0.0566,0.0,0.2417,0.5542,0.4726
Waterbirds,minority_high_40,0.5%,0.005,noise_score_cpba_tc,CPBA-TC,10,0.0159,0.0047,0.0047,0.0566,0.0,0.2417,0.5542,0.4726
Waterbirds,minority_high_40,0.5%,0.005,CPBA-only,CPBA-only,10,0.0159,0.0047,0.0047,0.0566,0.0,0.2417,0.5542,0.4726
Waterbirds,minority_high_40,0.5%,0.005,noise_score_tc_only,TC-only,10,0.0159,0.0047,0.0047,0.0566,0.0,0.2417,0.5542,0.4726
Waterbirds,minority_high_40,0.5%,0.005,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0159,0.0047,0.0047,0.0566,0.0,0.2417,0.5542,0.4726
Waterbirds,minority_high_40,0.5%,0.005,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0159,0.0047,0.0047,0.0566,0.0,0.2417,0.5542,0.4726
Waterbirds,minority_high_40,0.5%,0.005,oracle_noise_group_balanced,Oracle-GB,10,0.0182,0.0164,-0.0794,0.1246,20.0,1.0,0.5,0.4749
Waterbirds,minority_high_40,1.0%,0.01,random,Random,10,0.0017,0.0026,-0.0125,0.0171,50.0,0.1208,0.0542,0.4584
Waterbirds,minority_high_40,1.0%,0.01,loss,Loss,10,0.0029,0.0193,-0.0623,0.1667,60.0,0.9937,0.0125,0.4596
Waterbirds,minority_high_40,1.0%,0.01,entropy,Entropy,10,0.0039,0.0116,-0.0872,0.0561,20.0,0.2187,0.4125,0.4606
Waterbirds,minority_high_40,1.0%,0.01,forgetting,Forgetting,10,0.0563,0.0175,-0.0047,0.1838,10.0,0.3583,0.5188,0.5425
Waterbirds,minority_high_40,1.0%,0.01,margin,Margin,10,0.0144,0.0133,-0.0358,0.1199,30.0,0.9958,0.0021,0.5006
Waterbirds,minority_high_40,1.0%,0.01,aum,AUM,10,0.0043,0.0118,-0.0498,0.0662,40.0,0.9958,0.0042,0.4905
Waterbirds,minority_high_40,1.0%,0.01,confident_learning,Cleanlab,10,0.0144,0.0133,-0.0358,0.1199,30.0,0.9958,0.0021,0.5006
Waterbirds,minority_high_40,1.0%,0.01,coreset,Coreset-Lite,10,0.0011,0.0015,-0.0047,0.0125,20.0,0.0146,0.0396,0.4873
Waterbirds,minority_high_40,1.0%,0.01,uncertainty_diversity,Unc+Div-Lite,10,0.0099,0.0096,-0.028,0.0862,30.0,0.3208,0.3187,0.4961
Waterbirds,minority_high_40,1.0%,0.01,badge_lite,BADGE-Lite,10,0.0258,0.0129,-0.0374,0.0794,30.0,0.95,0.0229,0.512
